:Location: Ranipet
:ID: RP-HS-ADMIN
session_id,login_time,logout_time,logout_reason
1,2026-03-19 10:15:28,2026-03-19 13:04:11,user_initiated
2,2026-03-19 13:04:16,2026-03-19 13:07:28,user_initiated
3,2026-03-19 13:07:34,2026-03-19 19:38:38,user_initiated
4,2026-03-19 19:38:46,2026-03-19 19:40:49,user_initiated
5,2026-03-19 20:09:11,2026-03-19 21:04:27,user_initiated
6,2026-03-19 21:04:32,2026-03-19 21:08:49,user_initiated
7,2026-03-19 21:08:53,2026-03-19 21:16:42,user_initiated
8,2026-03-19 21:16:48,2026-03-19 21:38:11,user_initiated
9,2026-03-19 21:38:15,2026-03-20 16:04:32,user_initiated
10,2026-03-20 16:04:36,2026-03-20 16:17:40,user_initiated
11,2026-03-20 16:18:10,2026-03-20 16:32:42,user_initiated
12,2026-03-20 16:34:07,2026-03-20 16:52:14,user_initiated
13,2026-03-20 16:52:25,2026-03-20 16:52:51,user_initiated
14,2026-03-20 16:53:24,2026-03-20 16:53:33,user_initiated
15,2026-03-20 16:53:57,2026-03-20 19:14:23,user_initiated
16,2026-03-20 19:14:28,2026-03-20 19:15:07,user_initiated
17,2026-03-20 19:15:18,2026-03-20 21:07:53,user_initiated
18,2026-03-20 21:08:08,2026-03-20 21:10:16,user_initiated
19,2026-03-20 21:10:23,2026-03-20 21:13:18,user_initiated
20,2026-03-20 21:13:22,2026-03-20 21:21:59,user_initiated
21,2026-03-20 21:27:40,2026-03-20 21:27:48,user_initiated
22,2026-03-20 21:28:10,2026-03-20 21:29:18,user_initiated
23,2026-03-20 21:29:22,2026-03-20 21:29:35,user_initiated
24,2026-03-21 07:42:15,2026-03-21 07:49:29,user_initiated
25,2026-03-21 08:40:42,2026-03-21 08:45:35,user_initiated
26,2026-03-21 08:45:42,2026-03-21 08:56:53,user_initiated
27,2026-03-21 08:56:59,2026-03-21 11:05:35,user_initiated
28,2026-03-21 11:05:42,2026-03-21 11:08:05,user_initiated
29,2026-03-21 11:08:12,2026-03-21 11:11:15,user_initiated
30,2026-03-21 11:11:25,2026-03-21 13:14:08,user_initiated
31,2026-03-21 13:14:15,2026-03-21 13:18:54,user_initiated
32,2026-03-21 13:26:31,2026-03-21 18:10:06,user_initiated
33,2026-03-21 18:10:40,2026-03-21 18:16:13,user_initiated
34,2026-03-21 18:16:20,2026-03-21 18:17:13,user_initiated
35,2026-03-21 18:17:16,2026-03-21 18:19:14,user_initiated
36,2026-03-21 18:26:37,2026-03-21 18:26:59,user_initiated
37,2026-03-21 18:29:55,2026-03-21 18:31:13,user_initiated
38,2026-03-21 18:40:10,2026-03-21 18:42:21,user_initiated
39,2026-03-21 19:04:39,2026-03-21 19:09:26,user_initiated
40,2026-03-21 19:28:05,2026-03-21 19:35:04,user_initiated
41,2026-03-21 19:35:15,null,null
